ticker,nome
A1LX34.SA,ALEXION PHAR
AALL34.SA,AMERICAN AIR
AALR3.SA,ALLIAR      
AAPL34.SA,APPLE       
ABBV34.SA,ABBVIE      
ABCB10.SA,ABC BRASIL  
ABCB2.SA,ABC BRASIL  
ABCB4.SA,ABC BRASIL  
ABCP11.SA,FII ABC IMOB
ABEV3.SA,AMBEV S/A   
ABTT34.SA,ABBOTT      
ABUD34.SA,AB INBEV    
ACNB34.SA,ACCENTURE   
ADBE34.SA,ADOBE INC   
ADHM3.SA,ADVANCED-DH 
ADPR34.SA,AUTOMATIC DT
AEFI11.SA,FII AESAPAR 
AFLT3.SA,AFLUENTE T  
AGCX11.SA,FII AG CAIXA
AGRO3.SA,BRASILAGRO  
AHEB3.SA,SPTURIS     
AHEB5.SA,SPTURIS     
AIGB34.SA,AIG GROUP   
ALMI11.SA,FII TORRE AL
ALPA3.SA,ALPARGATAS  
ALPA4.SA,ALPARGATAS  
ALSC3.SA,ALIANSCE    
ALSO3.SA,ALIANSCSONAE
ALUP11.SA,ALUPAR      
ALUP3.SA,ALUPAR      
ALUP4.SA,ALUPAR      
ALZR11.SA,FII ALIANZA 
ALZR12.SA,FII ALIANZA 
AMAR3.SA,LOJAS MARISA
AMGN34.SA,AMGEN       
AMZO34.SA,AMAZON      
ANCR11B.SA,FII ANCAR IC
ANDG3B.SA,AGCONCESSOES
ANIM3.SA,ANIMA       
APER1.SA,ALPER S.A.  
APER3.SA,ALPER S.A.  
APER9.SA,ALPER S.A.  
APTV34.SA,APTIV PLC   
AQLL11.SA,FII AQUILLA 
ARMT34.SA,ARCELOR     
ARNC34.SA,ARCONIC     
ARRI11.SA,FII ATRIO   
ARZZ3.SA,AREZZO CO   
ASML34.SA,ASML HOLD   
ATOM3.SA,ATOMPAR     
ATSA11.SA,FII HATRIUM 
ATTB34.SA,ATT INC     
ATVI34.SA,ACTIVISION  
AVGO34.SA,BROADCOM INC
AVON34.SA,AVON        
AWII34.SA,ARMSTRONG   
AXPB34.SA,AMERICAN EXP
AZEV3.SA,AZEVEDO     
AZEV4.SA,AZEVEDO     
AZOI34.SA,AUTOZONE INC
AZUL4.SA,AZUL        
B3SA3.SA,B3          
BABA34.SA,ALIBABAGR   
BAHI1.SA,BAHEMA      
BAHI3.SA,BAHEMA      
BAHI9.SA,BAHEMA      
BALM3.SA,BAUMER      
BALM4.SA,BAUMER      
BARI11.SA,FII BARIGUI 
BAUH4.SA,EXCELSIOR   
BAZA3.SA,AMAZONIA    
BBAS3.SA,BRASIL      
BBDC3.SA,BRADESCO    
BBDC4.SA,BRADESCO    
BBFI11B.SA,FII BB PROGR
BBPO11.SA,FII BB PRGII
BBRC11.SA,FII BB CORP 
BBRK3.SA,BR BROKERS  
BBSD11.SA,BB ETF SP DV
BBSE3.SA,BBSEGURIDADE
BBVJ11.SA,FII C JARDIM
BBYY34.SA,BEST BUY    
BCFF11.SA,FII BC FFII 
BCFF12.SA,FII BC FFII 
BCIA11.SA,FII BCIA    
BCRI11.SA,FII BEES CRI
BCSA34.SA,SANTANDER   
BDLL3.SA,BARDELLA    
BDLL4.SA,BARDELLA    
BEEF11.SA,MINERVA     
BEEF3.SA,MINERVA     
BEES3.SA,BANESTES    
BEES4.SA,BANESTES    
BERK34.SA,BERKSHIRE   
BGIP3.SA,BANESE      
BGIP4.SA,BANESE      
BHPG34.SA,BHP GROUP   
BICR11.SA,FII INTER   
BIDI10.SA,BANCO INTER 
BIDI11.SA,BANCO INTER 
BIDI12.SA,BANCO INTER 
BIDI3.SA,BANCO INTER 
BIDI4.SA,BANCO INTER 
BIDI9.SA,BANCO INTER 
BIDU34.SA,BAIDU INC   
BIIB34.SA,BIOGEN      
BILB34.SA,BILBAOVIZ   
BIOM1.SA,BIOMM       
BIOM3.SA,BIOMM       
BIOM9.SA,BIOMM       
BKBR3.SA,BK BRASIL   
BKNG34.SA,BOOKING     
BKOI11.SA,FIP BKO BREI
BLAK34.SA,BLACKROCK   
BMEB3.SA,MERC BRASIL 
BMEB4.SA,MERC BRASIL 
BMGB11.SA,BANCO BMG   
BMGB4.SA,BANCO BMG   
BMIN3.SA,MERC INVEST 
BMIN4.SA,MERC INVEST 
BMKS3.SA,BIC MONARK  
BMLC11B.SA,FII BMBRC LC
BMYB34.SA,BRISTOLMYERS
BNBR3.SA,NORD BRASIL 
BNFS11.SA,FII BANRISUL
BOAC34.SA,BANK AMERICA
BOBR4.SA,BOMBRIL     
BOEI34.SA,BOEING      
BONY34.SA,BNY MELLON  
BOVA11.SA,ISHARES BOVA
BOVB11.SA,ETF BRAD BOV
BOVV11.SA,IT NOW IBOV 
BOXP34.SA,BOSTON PROP 
BPAC11.SA,BTGP BANCO  
BPAC3.SA,BTGP BANCO  
BPAC5.SA,BTGP BANCO  
BPAN10.SA,BANCO PAN   
BPAN4.SA,BANCO PAN   
BPAR3.SA,BANPARA     
BPFF11.SA,FII ABSOLUTO
BPHA3.SA,BR PHARMA   
BPML11.SA,FII BTG SHOP
BPRP11.SA,FII BRLPROP 
BRAP3.SA,BRADESPAR   
BRAP4.SA,BRADESPAR   
BRAX11.SA,ISHARES BRAX
BRCO11.SA,FII BRESCO  
BRCR11.SA,FII BC FUND 
BRDT3.SA,PETROBRAS BR
BRFS3.SA,BRF SA      
BRGE11.SA,ALFA CONSORC
BRGE12.SA,ALFA CONSORC
BRGE3.SA,ALFA CONSORC
BRGE5.SA,ALFA CONSORC
BRGE6.SA,ALFA CONSORC
BRGE7.SA,ALFA CONSORC
BRGE8.SA,ALFA CONSORC
BRIV3.SA,ALFA INVEST 
BRIV4.SA,ALFA INVEST 
BRKM3.SA,BRASKEM     
BRKM5.SA,BRASKEM     
BRKM6.SA,BRASKEM     
BRML3.SA,BR MALLS PAR
BRPR3.SA,BR PROPERT  
BRSR3.SA,BANRISUL    
BRSR5.SA,BANRISUL    
BRSR6.SA,BANRISUL    
BSEV3.SA,BIOSEV      
BSLI3.SA,BRB BANCO   
BSLI4.SA,BRB BANCO   
BTCR11.SA,FII BTG CRI 
BTLG11.SA,FII BTLG    
BTOW1.SA,B2W DIGITAL 
BTOW3.SA,B2W DIGITAL 
BTOW9.SA,B2W DIGITAL 
BTTL3.SA,BATTISTELLA 
BZLI11.SA,FII BRREALTY
CAJI34.SA,CANON INC   
CALI4.SA,CONST A LIND
CAMB10.SA,CAMBUCI     
CAMB2.SA,CAMBUCI     
CAMB3.SA,CAMBUCI     
CAMB4.SA,CAMBUCI     
CAML3.SA,CAMIL       
CAON34.SA,CAPITAL ONE 
CAPH34.SA,CAPRI HOLDI 
CARD3.SA,CSU CARDSYST
CARE11.SA,FII DEA CARE
CASN3.SA,CASAN       
CASN4.SA,CASAN       
CATP34.SA,CATERPILLAR 
CBEE3.SA,AMPLA ENERG 
CBOP11.SA,FII C BRANCO
CCPR3.SA,CYRE COM-CCP
CCRO3.SA,CCR SA      
CCXC3.SA,CCX CARVAO  
CEAB3.SA,CEA MODAS   
CEBR3.SA,CEB         
CEBR5.SA,CEB         
CEBR6.SA,CEB         
CEDO3.SA,CEDRO       
CEDO4.SA,CEDRO       
CEEB3.SA,COELBA      
CEEB5.SA,COELBA      
CEED3.SA,CEEE-D      
CEED4.SA,CEEE-D      
CEGR3.SA,CEG         
CELP3.SA,CELPA       
CELP5.SA,CELPA       
CELP6.SA,CELPA       
CELP7.SA,CELPA       
CEOC11.SA,FII CEO CCP 
CEPE5.SA,CELPE       
CEPE6.SA,CELPE       
CESP3.SA,CESP        
CESP5.SA,CESP        
CESP6.SA,CESP        
CGAS11.SA,COMGAS      
CGAS3.SA,COMGAS      
CGAS5.SA,COMGAS      
CGRA3.SA,GRAZZIOTIN  
CGRA4.SA,GRAZZIOTIN  
CHCM34.SA,CHARTER COMM
CHDC34.SA,CHURCH DWIGH
CHKE34.SA,CHESAPEAKE  
CHME34.SA,CME GROUP   
CHVX34.SA,CHEVRON     
CIEL3.SA,CIELO       
CINF34.SA,CINCINNATI  
CLGN34.SA,CELGENE CORP
CLSC3.SA,CELESC      
CLSC4.SA,CELESC      
CLXC34.SA,CLOROX CO   
CMCS34.SA,COMCAST     
CMIG3.SA,CEMIG       
CMIG4.SA,CEMIG       
CNES11.SA,FII CENESP  
CNIC34.SA,CANAD NATION
CNTO3.SA,CENTAURO    
COCA34.SA,COCA COLA   
COCE3.SA,COELCE      
COCE5.SA,COELCE      
COGN3.SA,COGNA ON    
COLG34.SA,COLGATE     
COPH34.SA,COPHILLIPS  
CORR4.SA,COR RIBEIRO 
COTY34.SA,COTY INC    
COWC34.SA,COSTCO      
CPFE3.SA,CPFL ENERGIA
CPLE3.SA,COPEL       
CPLE6.SA,COPEL       
CPRE3.SA,CPFL RENOVAV
CPRL34.SA,CANAD PACIFI
CPTS11B.SA,FII CAPI SEC
CRDA34.SA,CREDIT ACCEP
CRDE3.SA,CR2         
CRFB3.SA,CARREFOUR BR
CRFF11.SA,FII CX RBRA2
CRHP34.SA,CRH PLC     
CRIN34.SA,CARTERS INC 
CRIP34.SA,CTRIPCOM    
CRIV3.SA,ALFA FINANC 
CRIV4.SA,ALFA FINANC 
CRPG3.SA,CRISTAL     
CRPG5.SA,CRISTAL     
CRPG6.SA,CRISTAL     
CSAB3.SA,SEG AL BAHIA
CSAB4.SA,SEG AL BAHIA
CSAN3.SA,COSAN       
CSCO34.SA,CISCO       
CSMG3.SA,COPASA      
CSNA3.SA,SID NACIONAL
CSRN3.SA,COSERN      
